Season,TeamName,ConferenceName,ConfAbbrev
1985,E Illinois,Mid-Continent Conference,mid_cont
1985,E Kentucky,Ohio Valley Conference,ovc
1985,E Michigan,Mid-American Conference,mac
1985,E Washington,Independent,ind
1985,East Carolina,Eastern Collegiate Athletic Conference South,ecacs
1985,ETSU,Southern Conference,southern
1985,Evansville,Midwestern City Conference,mw_city
1985,F Dickinson,Eastern Collegiate Athletic Conference Metro,ecacm
1985,Fairfield,Metro Atlantic Athletic Conference,maac
1985,Florida,Southeastern Conference,sec
1985,Florida A&M,Independent,ind
1985,Florida St,Metropolitan Collegiate Athletic Conference,metro
1985,Fordham,Metro Atlantic Athletic Conference,maac
1985,Fresno St,Pacific Coast Athletic Association,pcaa
1985,Furman,Southern Conference,southern
1985,G Washington,Atlantic 10 Conference,a_ten
1985,Ga Southern,Atlantic Sun Conference,a_sun
1985,George Mason,Eastern Collegiate Athletic Conference South,ecacs
1985,Georgetown,Big East Conference,big_east
1985,Georgia,Southeastern Conference,sec
1985,Georgia St,Atlantic Sun Conference,a_sun
1985,Georgia Tech,Atlantic Coast Conference,acc
1985,Gonzaga,West Coast Conference,wcc
1985,Grambling,Southwest Athletic Conference,swac
1985,Hardin-Simmons,Atlantic Sun Conference,a_sun
1985,Hartford,Eastern Collegiate Athletic Conference North,ecacn
1985,Harvard,Ivy League,ivy
1985,Hawaii,Western Athletic Conference,wac
1985,Hofstra,East Coast Conference,ecc
1985,Holy Cross,Metro Atlantic Athletic Conference,maac
1985,Houston,Southwest Conference,swc
1985,Houston Chr,Atlantic Sun Conference,a_sun
1985,Howard,Mid-Eastern Athletic Conference,meac
1985,Idaho,Big Sky Conference,big_sky
1985,Idaho St,Big Sky Conference,big_sky
1985,IL Chicago,Mid-Continent Conference,mid_cont
1985,Illinois,Big Ten Conference,big_ten
1985,Illinois St,Missouri Valley Conference,mvc
1985,Indiana,Big Ten Conference,big_ten
1985,Indiana St,Missouri Valley Conference,mvc
1985,Iona,Metro Atlantic Athletic Conference,maac
1985,Iowa,Big Ten Conference,big_ten
1985,Iowa St,Big Eight Conference,big_eight
1985,Jackson St,Southwest Athletic Conference,swac
1985,Jacksonville,Sun Belt Conference,sun_belt
1985,James Madison,Eastern Collegiate Athletic Conference South,ecacs
1985,Kansas,Big Eight Conference,big_eight
1985,Kansas St,Big Eight Conference,big_eight
1985,Kent,Mid-American Conference,mac
1985,Kentucky,Southeastern Conference,sec
1985,La Salle,Metro Atlantic Athletic Conference,maac
1985,Lafayette,East Coast Conference,ecc
1985,Lamar,Southland Conference,southland
1985,Lehigh,East Coast Conference,ecc
1985,Long Beach St,Pacific Coast Athletic Association,pcaa
1985,LIU Brooklyn,Eastern Collegiate Athletic Conference Metro,ecacm
1985,Louisiana Tech,Southland Conference,southland
1985,Louisville,Metropolitan Collegiate Athletic Conference,metro
1985,Loy Marymount,West Coast Conference,wcc
1985,Loyola MD,Eastern Collegiate Athletic Conference Metro,ecacm
1985,Loyola-Chicago,Midwestern City Conference,mw_city
1985,LSU,Southeastern Conference,sec
1985,Maine,Eastern Collegiate Athletic Conference North,ecacn
1985,Manhattan,Metro Atlantic Athletic Conference,maac
1985,Marist,Eastern Collegiate Athletic Conference Metro,ecacm
1985,Marquette,Independent,ind
1985,Marshall,Southern Conference,southern
1985,Maryland,Atlantic Coast Conference,acc
1985,Massachusetts,Atlantic 10 Conference,a_ten
1985,McNeese St,Southland Conference,southland
1985,MD E Shore,Mid-Eastern Athletic Conference,meac
1985,Memphis,Metropolitan Collegiate Athletic Conference,metro
1985,Mercer,Atlantic Sun Conference,a_sun
1985,Miami OH,Mid-American Conference,mac
1985,Michigan,Big Ten Conference,big_ten
1985,Michigan St,Big Ten Conference,big_ten
1985,Minnesota,Big Ten Conference,big_ten
1985,Mississippi,Southeastern Conference,sec
1985,Mississippi St,Southeastern Conference,sec
1985,Missouri,Big Eight Conference,big_eight
1985,Missouri St,Mid-Continent Conference,mid_cont
1985,Monmouth NJ,Independent,ind
1985,Montana,Big Sky Conference,big_sky
1985,Montana St,Big Sky Conference,big_sky
1985,Morehead St,Ohio Valley Conference,ovc
1985,Morgan St,Mid-Eastern Athletic Conference,meac
1985,MS Valley St,Southwest Athletic Conference,swac
1985,MTSU,Ohio Valley Conference,ovc
1985,Murray St,Ohio Valley Conference,ovc
1985,N Illinois,Mid-American Conference,mac
1985,Navy,Eastern Collegiate Athletic Conference South,ecacs
1985,NC A&T,Mid-Eastern Athletic Conference,meac
1985,NC State,Atlantic Coast Conference,acc
1985,Nebraska,Big Eight Conference,big_eight
1985,Nevada,Big Sky Conference,big_sky
1985,New Hampshire,Eastern Collegiate Athletic Conference North,ecacn
1985,New Mexico,Western Athletic Conference,wac
1985,New Mexico St,Pacific Coast Athletic Association,pcaa
1985,New Orleans,Independent,ind
1985,Niagara,Eastern Collegiate Athletic Conference North,ecacn
1985,Nicholls St,Gulf Star Conference,gsc
1985,North Carolina,Atlantic Coast Conference,acc
1985,North Texas,Southland Conference,southland
1985,Northeastern,Eastern Collegiate Athletic Conference North,ecacn
1985,Northern Arizona,Big Sky Conference,big_sky
1985,Northern Iowa,Mid-Continent Conference,mid_cont
1985,Northwestern,Big Ten Conference,big_ten
1985,Northwestern LA,Gulf Star Conference,gsc
1985,Notre Dame,Independent,ind
1985,Ohio,Mid-American Conference,mac
1985,Ohio St,Big Ten Conference,big_ten
1985,Okla City,Midwestern City Conference,mw_city
1985,Oklahoma,Big Eight Conference,big_eight
1985,Oklahoma St,Big Eight Conference,big_eight
1985,Old Dominion,Sun Belt Conference,sun_belt
1985,Oral Roberts,Midwestern City Conference,mw_city
1985,Oregon,Pacific-10 Conference,pac_ten
1985,Oregon St,Pacific-10 Conference,pac_ten
1985,Pacific,Pacific Coast Athletic Association,pcaa
1985,Penn,Ivy League,ivy
1985,Penn St,Atlantic 10 Conference,a_ten
1985,Pepperdine,West Coast Conference,wcc
1985,Pittsburgh,Big East Conference,big_east
1985,Portland,West Coast Conference,wcc
1985,Prairie View,Southwest Athletic Conference,swac
1985,Princeton,Ivy League,ivy
1985,Providence,Big East Conference,big_east
1985,Purdue,Big Ten Conference,big_ten
1985,Radford,Independent,ind
1985,Rhode Island,Atlantic 10 Conference,a_ten
1985,Rice,Southwest Conference,swc
1985,Richmond,Eastern Collegiate Athletic Conference South,ecacs
1985,Rider,East Coast Conference,ecc
1985,Robert Morris,Eastern Collegiate Athletic Conference Metro,ecacm
1985,Rutgers,Atlantic 10 Conference,a_ten
1985,S Carolina St,Mid-Eastern Athletic Conference,meac
1985,S Illinois,Missouri Valley Conference,mvc
1985,Samford,Atlantic Sun Conference,a_sun
1985,San Diego,West Coast Conference,wcc
1985,San Diego St,Western Athletic Conference,wac
1985,San Jose St,Pacific Coast Athletic Association,pcaa
1985,UC Santa Barbara,Pacific Coast Athletic Association,pcaa
1985,Santa Clara,West Coast Conference,wcc
1985,SE Louisiana,Gulf Star Conference,gsc
1985,Seton Hall,Big East Conference,big_east
1985,Siena,Eastern Collegiate Athletic Conference North,ecacn
1985,SMU,Southwest Conference,swc
1985,South Alabama,Sun Belt Conference,sun_belt
1985,South Carolina,Metropolitan Collegiate Athletic Conference,metro
1985,South Florida,Sun Belt Conference,sun_belt
1985,Southern Miss,Metropolitan Collegiate Athletic Conference,metro
1985,Southern Univ,Southwest Athletic Conference,swac
1985,St Bonaventure,Atlantic 10 Conference,a_ten
1985,St Francis NY,Eastern Collegiate Athletic Conference Metro,ecacm
1985,St Francis PA,Eastern Collegiate Athletic Conference Metro,ecacm
1985,St John's,Big East Conference,big_east
1985,St Joseph's PA,Atlantic 10 Conference,a_ten
1985,St Louis,Midwestern City Conference,mw_city
1985,St Mary's CA,West Coast Conference,wcc
1985,St Peter's,Metro Atlantic Athletic Conference,maac
1985,Stanford,Pacific-10 Conference,pac_ten
1985,Stetson,Independent,ind
1985,Syracuse,Big East Conference,big_east
1985,TCU,Southwest Conference,swc
1985,Temple,Atlantic 10 Conference,a_ten
1985,Tennessee,Southeastern Conference,sec
1985,Tennessee St,Independent,ind
1985,Tennessee Tech,Ohio Valley Conference,ovc
1985,Texas,Southwest Conference,swc
1985,Texas A&M,Southwest Conference,swc
1985,Texas St,Gulf Star Conference,gsc
1985,Texas Tech,Southwest Conference,swc
1985,Toledo,Mid-American Conference,mac
1985,Towson,East Coast Conference,ecc
1985,Tulane,Metropolitan Collegiate Athletic Conference,metro
1985,Tulsa,Missouri Valley Conference,mvc
1985,UTRGV,Independent,ind
1985,TX Southern,Southwest Athletic Conference,swac
1985,UAB,Sun Belt Conference,sun_belt
1985,UC Irvine,Pacific Coast Athletic Association,pcaa
1985,UCF,Independent,ind
1985,UCLA,Pacific-10 Conference,pac_ten
1985,Louisiana,Independent,ind
1985,ULM,Southland Conference,southland
1985,UNC Wilmington,Eastern Collegiate Athletic Conference South,ecacs
1985,UNLV,Pacific Coast Athletic Association,pcaa
1985,USC,Pacific-10 Conference,pac_ten
1985,UT Arlington,Southland Conference,southland
1985,UT San Antonio,Independent,ind
1985,Utah,Western Athletic Conference,wac
1985,Utah St,Pacific Coast Athletic Association,pcaa
1985,UTEP,Western Athletic Conference,wac
1985,Utica,Independent,ind
1985,VCU,Sun Belt Conference,sun_belt
1985,Valparaiso,Mid-Continent Conference,mid_cont
1985,Vanderbilt,Southeastern Conference,sec
1985,Vermont,Eastern Collegiate Athletic Conference North,ecacn
1985,Villanova,Big East Conference,big_east
1985,Virginia,Atlantic Coast Conference,acc
1985,Virginia Tech,Metropolitan Collegiate Athletic Conference,metro
1985,VMI,Southern Conference,southern
1985,W Carolina,Southern Conference,southern
1985,W Illinois,Mid-Continent Conference,mid_cont
1985,WKU,Sun Belt Conference,sun_belt
1985,W Michigan,Mid-American Conference,mac
1985,W Texas A&M,Missouri Valley Conference,mvc
1985,Wagner,Eastern Collegiate Athletic Conference Metro,ecacm
1985,Wake Forest,Atlantic Coast Conference,acc
1985,Washington,Pacific-10 Conference,pac_ten
1985,Washington St,Pacific-10 Conference,pac_ten
1985,Weber St,Big Sky Conference,big_sky
1985,West Virginia,Atlantic 10 Conference,a_ten
1985,WI Green Bay,Mid-Continent Conference,mid_cont
1985,Wichita St,Missouri Valley Conference,mvc
1985,William & Mary,Eastern Collegiate Athletic Conference South,ecacs
1985,Wisconsin,Big Ten Conference,big_ten
1985,Wyoming,Western Athletic Conference,wac
1985,Xavier,Midwestern City Conference,mw_city
1985,Yale,Ivy League,ivy
1985,Youngstown St,Ohio Valley Conference,ovc
1986,Air Force,Western Athletic Conference,wac
1986,Akron,Ohio Valley Conference,ovc
1986,Alabama,Southeastern Conference,sec
1986,Alabama St,Southwest Athletic Conference,swac
1986,Alcorn St,Southwest Athletic Conference,swac
1986,Alliant Intl,Independent,ind
1986,American Univ,Coastal Athletic Association,caa
1986,Appalachian St,Southern Conference,southern
1986,Arizona,Pacific-10 Conference,pac_ten
1986,Arizona St,Pacific-10 Conference,pac_ten
1986,Ark Little Rock,Atlantic Sun Conference,a_sun
1986,Arkansas,Southwest Conference,swc
1986,Arkansas St,Southland Conference,southland
1986,Army,Metro Atlantic Athletic Conference,maac
1986,Auburn,Southeastern Conference,sec
1986,Augusta,Big South Conference,big_south
1986,Austin Peay,Ohio Valley Conference,ovc
1986,Ball St,Mid-American Conference,mac
1986,Baylor,Southwest Conference,swc
1986,Bethune-Cookman,Mid-Eastern Athletic Conference,meac
1986,Boise St,Big Sky Conference,big_sky
1986,Boston College,Big East Conference,big_east
1986,Boston Univ,Eastern Collegiate Athletic Conference North,ecacn
1986,Bowling Green,Mid-American Conference,mac
1986,Bradley,Missouri Valley Conference,mvc
1986,Brooklyn,Independent,ind
1986,Brown,Ivy League,ivy
1986,Bucknell,East Coast Conference,ecc
1986,Butler,Midwestern Collegiate Conference,mw_coll
1986,BYU,Western Athletic Conference,wac
1986,C Michigan,Mid-American Conference,mac
1986,California,Pacific-10 Conference,pac_ten
1986,Campbell,Big South Conference,big_south
1986,Canisius,Eastern Collegiate Athletic Conference North,ecacn
1986,Centenary,Atlantic Sun Conference,a_sun
1986,Charleston So,Big South Conference,big_south
1986,Charlotte,Sun Belt Conference,sun_belt
1986,Chattanooga,Southern Conference,southern
1986,Chicago St,Independent,ind
1986,Cincinnati,Metropolitan Collegiate Athletic Conference,metro
1986,Citadel,Southern Conference,southern
1986,Clemson,Atlantic Coast Conference,acc
1986,Cleveland St,Mid-Continent Conference,mid_cont
1986,Colgate,Eastern Collegiate Athletic Conference North,ecacn
1986,Colorado,Big Eight Conference,big_eight
1986,Colorado St,Western Athletic Conference,wac
1986,Columbia,Ivy League,ivy
1986,Connecticut,Big East Conference,big_east
1986,Coppin St,Mid-Eastern Athletic Conference,meac
1986,Cornell,Ivy League,ivy
1986,Creighton,Missouri Valley Conference,mvc
1986,CS Fullerton,Pacific Coast Athletic Association,pcaa
1986,Dartmouth,Ivy League,ivy
1986,Davidson,Southern Conference,southern
1986,Dayton,Independent,ind
1986,Delaware,East Coast Conference,ecc
1986,Delaware St,Mid-Eastern Athletic Conference,meac
1986,DePaul,Independent,ind
1986,Detroit,Midwestern Collegiate Conference,mw_coll
1986,Drake,Missouri Valley Conference,mvc
1986,Drexel,East Coast Conference,ecc
1986,Duke,Atlantic Coast Conference,acc
1986,Duquesne,Atlantic 10 Conference,a_ten
1986,E Illinois,Mid-Continent Conference,mid_cont
1986,E Kentucky,Ohio Valley Conference,ovc
1986,E Michigan,Mid-American Conference,mac
1986,E Washington,Independent,ind
1986,East Carolina,Coastal Athletic Association,caa
1986,ETSU,Southern Conference,southern
1986,Evansville,Midwestern Collegiate Conference,mw_coll
1986,F Dickinson,Eastern Collegiate Athletic Conference Metro,ecacm
1986,Fairfield,Metro Atlantic Athletic Conference,maac
1986,Florida,Southeastern Conference,sec
1986,Florida A&M,Independent,ind
1986,Florida St,Metropolitan Collegiate Athletic Conference,metro
1986,Fordham,Metro Atlantic Athletic Conference,maac
1986,Fresno St,Pacific Coast Athletic Association,pcaa
1986,Furman,Southern Conference,southern
1986,G Washington,Atlantic 10 Conference,a_ten
1986,Ga Southern,Atlantic Sun Conference,a_sun
1986,George Mason,Coastal Athletic Association,caa
1986,Georgetown,Big East Conference,big_east
1986,Georgia,Southeastern Conference,sec
1986,Georgia St,Atlantic Sun Conference,a_sun
1986,Georgia Tech,Atlantic Coast Conference,acc
1986,Gonzaga,West Coast Conference,wcc
1986,Grambling,Southwest Athletic Conference,swac
1986,Hardin-Simmons,Atlantic Sun Conference,a_sun
1986,Hartford,Eastern Collegiate Athletic Conference North,ecacn
1986,Harvard,Ivy League,ivy
1986,Hawaii,Western Athletic Conference,wac
1986,Hofstra,East Coast Conference,ecc
1986,Holy Cross,Metro Atlantic Athletic Conference,maac
1986,Houston,Southwest Conference,swc
1986,Houston Chr,Atlantic Sun Conference,a_sun
1986,Howard,Mid-Eastern Athletic Conference,meac
1986,Idaho,Big Sky Conference,big_sky
1986,Idaho St,Big Sky Conference,big_sky
1986,IL Chicago,Mid-Continent Conference,mid_cont
1986,Illinois,Big Ten Conference,big_ten
1986,Illinois St,Missouri Valley Conference,mvc
1986,Indiana,Big Ten Conference,big_ten
1986,Indiana St,Missouri Valley Conference,mvc
1986,Iona,Metro Atlantic Athletic Conference,maac
1986,Iowa,Big Ten Conference,big_ten
1986,Iowa St,Big Eight Conference,big_eight
1986,Jackson St,Southwest Athletic Conference,swac
1986,Jacksonville,Sun Belt Conference,sun_belt
1986,James Madison,Coastal Athletic Association,caa
1986,Kansas,Big Eight Conference,big_eight
1986,Kansas St,Big Eight Conference,big_eight
1986,Kent,Mid-American Conference,mac
1986,Kentucky,Southeastern Conference,sec
1986,La Salle,Metro Atlantic Athletic Conference,maac
1986,Lafayette,East Coast Conference,ecc
1986,Lamar,Southland Conference,southland
1986,Lehigh,East Coast Conference,ecc
1986,Long Beach St,Pacific Coast Athletic Association,pcaa
1986,LIU Brooklyn,Eastern Collegiate Athletic Conference Metro,ecacm
1986,Louisiana Tech,Southland Conference,southland
1986,Louisville,Metropolitan Collegiate Athletic Conference,metro
1986,Loy Marymount,West Coast Conference,wcc
1986,Loyola MD,Eastern Collegiate Athletic Conference Metro,ecacm
1986,Loyola-Chicago,Midwestern Collegiate Conference,mw_coll
1986,LSU,Southeastern Conference,sec
1986,Maine,Eastern Collegiate Athletic Conference North,ecacn
1986,Manhattan,Metro Atlantic Athletic Conference,maac
1986,Marist,Eastern Collegiate Athletic Conference Metro,ecacm
1986,Marquette,Independent,ind
1986,Marshall,Southern Conference,southern
1986,Maryland,Atlantic Coast Conference,acc
1986,Massachusetts,Atlantic 10 Conference,a_ten
1986,McNeese St,Southland Conference,southland
1986,MD E Shore,Mid-Eastern Athletic Conference,meac
1986,Memphis,Metropolitan Collegiate Athletic Conference,metro
1986,Mercer,Atlantic Sun Conference,a_sun
1986,Miami FL,Independent,ind
1986,Miami OH,Mid-American Conference,mac
1986,Michigan,Big Ten Conference,big_ten
1986,Michigan St,Big Ten Conference,big_ten
1986,Minnesota,Big Ten Conference,big_ten
1986,Mississippi,Southeastern Conference,sec
1986,Mississippi St,Southeastern Conference,sec
1986,Missouri,Big Eight Conference,big_eight
1986,Missouri St,Mid-Continent Conference,mid_cont
1986,Monmouth NJ,Eastern Collegiate Athletic Conference Metro,ecacm
1986,Montana,Big Sky Conference,big_sky
1986,Montana St,Big Sky Conference,big_sky
1986,Morehead St,Ohio Valley Conference,ovc
1986,Morgan St,Mid-Eastern Athletic Conference,meac
1986,MS Valley St,Southwest Athletic Conference,swac
1986,MTSU,Ohio Valley Conference,ovc
1986,Murray St,Ohio Valley Conference,ovc
1986,N Illinois,Mid-American Conference,mac
1986,Navy,Coastal Athletic Association,caa
1986,NC A&T,Mid-Eastern Athletic Conference,meac
1986,NC State,Atlantic Coast Conference,acc
1986,Nebraska,Big Eight Conference,big_eight
1986,Nevada,Big Sky Conference,big_sky
1986,New Hampshire,Eastern Collegiate Athletic Conference North,ecacn
1986,New Mexico,Western Athletic Conference,wac
1986,New Mexico St,Pacific Coast Athletic Association,pcaa
1986,New Orleans,Independent,ind
1986,Niagara,Eastern Collegiate Athletic Conference North,ecacn
1986,Nicholls St,Gulf Star Conference,gsc
1986,North Carolina,Atlantic Coast Conference,acc
1986,North Texas,Southland Conference,southland
1986,Northeastern,Eastern Collegiate Athletic Conference North,ecacn
1986,Northern Arizona,Big Sky Conference,big_sky
1986,Northern Iowa,Mid-Continent Conference,mid_cont
1986,Northwestern,Big Ten Conference,big_ten
1986,Northwestern LA,Gulf Star Conference,gsc
1986,Notre Dame,Independent,ind
1986,Ohio,Mid-American Conference,mac
1986,Ohio St,Big Ten Conference,big_ten
1986,Oklahoma,Big Eight Conference,big_eight
1986,Oklahoma St,Big Eight Conference,big_eight
1986,Old Dominion,Sun Belt Conference,sun_belt
1986,Oral Roberts,Midwestern Collegiate Conference,mw_coll
1986,Oregon,Pacific-10 Conference,pac_ten
1986,Oregon St,Pacific-10 Conference,pac_ten
1986,Pacific,Pacific Coast Athletic Association,pcaa
1986,Penn,Ivy League,ivy
1986,Penn St,Atlantic 10 Conference,a_ten
1986,Pepperdine,West Coast Conference,wcc
1986,Pittsburgh,Big East Conference,big_east
1986,Portland,West Coast Conference,wcc
1986,Prairie View,Southwest Athletic Conference,swac
1986,Princeton,Ivy League,ivy
1986,Providence,Big East Conference,big_east
1986,Purdue,Big Ten Conference,big_ten
1986,Radford,Big South Conference,big_south
1986,Rhode Island,Atlantic 10 Conference,a_ten
1986,Rice,Southwest Conference,swc
1986,Richmond,Coastal Athletic Association,caa
1986,Rider,East Coast Conference,ecc
1986,Robert Morris,Eastern Collegiate Athletic Conference Metro,ecacm
1986,Rutgers,Atlantic 10 Conference,a_ten
1986,S Carolina St,Mid-Eastern Athletic Conference,meac
1986,S Illinois,Missouri Valley Conference,mvc
1986,Samford,Atlantic Sun Conference,a_sun
1986,San Diego,West Coast Conference,wcc
1986,San Diego St,Western Athletic Conference,wac
1986,San Francisco,West Coast Conference,wcc
1986,San Jose St,Pacific Coast Athletic Association,pcaa
1986,UC Santa Barbara,Pacific Coast Athletic Association,pcaa
1986,Santa Clara,West Coast Conference,wcc
1986,SE Louisiana,Gulf Star Conference,gsc
1986,Seton Hall,Big East Conference,big_east
1986,Siena,Eastern Collegiate Athletic Conference North,ecacn
1986,SMU,Southwest Conference,swc
1986,South Alabama,Sun Belt Conference,sun_belt
1986,South Carolina,Metropolitan Collegiate Athletic Conference,metro
1986,South Florida,Sun Belt Conference,sun_belt
1986,Southern Miss,Metropolitan Collegiate Athletic Conference,metro
1986,Southern Univ,Southwest Athletic Conference,swac
1986,St Bonaventure,Atlantic 10 Conference,a_ten
1986,St Francis NY,Eastern Collegiate Athletic Conference Metro,ecacm
1986,St Francis PA,Eastern Collegiate Athletic Conference Metro,ecacm
1986,St John's,Big East Conference,big_east
1986,St Joseph's PA,Atlantic 10 Conference,a_ten
1986,St Louis,Midwestern Collegiate Conference,mw_coll
1986,St Mary's CA,West Coast Conference,wcc
1986,St Peter's,Metro Atlantic Athletic Conference,maac
1986,Stanford,Pacific-10 Conference,pac_ten
1986,Stetson,Atlantic Sun Conference,a_sun
1986,Syracuse,Big East Conference,big_east
1986,TCU,Southwest Conference,swc
1986,Temple,Atlantic 10 Conference,a_ten
1986,Tennessee,Southeastern Conference,sec
1986,Tennessee St,Independent,ind
1986,Tennessee Tech,Ohio Valley Conference,ovc
1986,Texas,Southwest Conference,swc
1986,Texas A&M,Southwest Conference,swc
1986,Texas St,Gulf Star Conference,gsc
1986,Texas Tech,Southwest Conference,swc
1986,Toledo,Mid-American Conference,mac
1986,Towson,East Coast Conference,ecc
1986,Tulsa,Missouri Valley Conference,mvc
1986,UTRGV,Independent,ind
1986,TX Southern,Southwest Athletic Conference,swac
1986,UAB,Sun Belt Conference,sun_belt
1986,UC Irvine,Pacific Coast Athletic Association,pcaa
1986,UCF,Independent,ind
1986,UCLA,Pacific-10 Conference,pac_ten
1986,Louisiana,Independent,ind
1986,ULM,Southland Conference,southland
1986,UNC Wilmington,Coastal Athletic Association,caa
1986,UNLV,Pacific Coast Athletic Association,pcaa
1986,USC,Pacific-10 Conference,pac_ten
1986,UT Arlington,Southland Conference,southland
1986,UT San Antonio,Independent,ind
1986,Utah,Western Athletic Conference,wac
1986,Utah St,Pacific Coast Athletic Association,pcaa
1986,UTEP,Western Athletic Conference,wac
1986,Utica,Independent,ind
1986,VCU,Sun Belt Conference,sun_belt
1986,Valparaiso,Mid-Continent Conference,mid_cont
1986,Vanderbilt,Southeastern Conference,sec
1986,Vermont,Eastern Collegiate Athletic Conference North,ecacn
1986,Villanova,Big East Conference,big_east
1986,Virginia,Atlantic Coast Conference,acc
1986,Virginia Tech,Metropolitan Collegiate Athletic Conference,metro
1986,VMI,Southern Conference,southern
1986,W Carolina,Southern Conference,southern
1986,W Illinois,Mid-Continent Conference,mid_cont
1986,WKU,Sun Belt Conference,sun_belt
1986,W Michigan,Mid-American Conference,mac
1986,W Texas A&M,Missouri Valley Conference,mvc
1986,Wagner,Eastern Collegiate Athletic Conference Metro,ecacm
1986,Wake Forest,Atlantic Coast Conference,acc
1986,Washington,Pacific-10 Conference,pac_ten
1986,Washington St,Pacific-10 Conference,pac_ten
1986,Weber St,Big Sky Conference,big_sky
1986,West Virginia,Atlantic 10 Conference,a_ten
1986,WI Green Bay,Mid-Continent Conference,mid_cont
1986,Wichita St,Missouri Valley Conference,mvc
1986,William & Mary,Coastal Athletic Association,caa
1986,Wisconsin,Big Ten Conference,big_ten
1986,Wyoming,Western Athletic Conference,wac
1986,Xavier,Midwestern Collegiate Conference,mw_coll
1986,Yale,Ivy League,ivy
1986,Youngstown St,Ohio Valley Conference,ovc
1987,Air Force,Western Athletic Conference,wac
1987,Akron,Ohio Valley Conference,ovc
1987,Alabama,Southeastern Conference,sec
1987,Alabama St,Southwest Athletic Conference,swac
1987,Alcorn St,Southwest Athletic Conference,swac
1987,Alliant Intl,Independent,ind
1987,American Univ,Coastal Athletic Association,caa
1987,Appalachian St,Southern Conference,southern
1987,Arizona,Pacific-10 Conference,pac_ten
1987,Arizona St,Pacific-10 Conference,pac_ten
1987,Ark Little Rock,Atlantic Sun Conference,a_sun
1987,Arkansas,Southwest Conference,swc
1987,Arkansas St,Southland Conference,southland
1987,Armstrong St,Big South Conference,big_south
1987,Army,Metro Atlantic Athletic Conference,maac
1987,Auburn,Southeastern Conference,sec
1987,Augusta,Big South Conference,big_south
1987,Austin Peay,Ohio Valley Conference,ovc
1987,Ball St,Mid-American Conference,mac
1987,Baylor,Southwest Conference,swc
1987,Bethune-Cookman,Mid-Eastern Athletic Conference,meac
1987,Boise St,Big Sky Conference,big_sky
1987,Boston College,Big East Conference,big_east
1987,Boston Univ,Eastern Collegiate Athletic Conference North,ecacn
1987,Bowling Green,Mid-American Conference,mac
1987,Bradley,Missouri Valley Conference,mvc
1987,Brooklyn,Independent,ind
1987,Brown,Ivy League,ivy
